World War II,74330344,1939,1945,46.2022,1.2644
Taiping Rebellion,44721360,1851,1864,35.8617,104.1954
Three Kingdoms War,37947332,184,280,35.8617,104.1954
Mongol conquests,34641016,1206,1368,61.0137,99.1967
European colonization of the Americas,34047026,1492,1691,37.0902,95.7129
Qing dynasty conquest of the Ming dynasty,25000000,1618,1683,35.8617,104.1954
An Lushan Rebellion,18384776,755,763,35.8617,104.1954
World War I,17748239,1914,1918,46.2022,1.2644
Conquest of Timur,17000000,1420,1520,32.4279,53.688
Chinese Civil War,8000000,1927,1949,35.8617,104.1954
Russian Civil War,6708204,1917,1921,61.524,105.3188
Thirty Years' War,5873670,1618,1648,46,10
Napoleonic Wars,4949747,1803,1815,14.5994,28.6731
Yellow Turban Rebellion,4582576,184,205,35.8617,104.1954
Second Congo War,3674235,1998,2003,4.0383,21.7587
French Wars of Religion,2828427,1562,1598,46.2276,2.2137
Hundred Years' War,2754995,1337,1453,46.2022,1.2644
Shaka's conquests,1732051,1816,1828,-20,25
War in Afghanistan,1732051,1979,2000,33.9391,67.71
Nigerian Civil War,1732051,1966,1970,9.082,8.6753
Crusades,1732051,1095,1291,46.2022,1.2644
Vietnam War,1549193,1955,1975,-2.218,115.6628
Punic Wars,1520691,-264,-146,34.5531,18.048
Second Sudanese Civil War,1414214,1983,2005,12.8628,30.2176
Korean War,1341641,1950,1953,35.9078,127.7669
Warring States Period,1341641,-475,-221,35.8617,104.1954
Soviet-Afghan War,1095445,1980,1988,33.9391,67.71
Japanese invasions of Korea,1000000,1592,1598,35.9078,127.7669
Du Wenxiu Rebellion,1000000,1856,1873,35.8617,104.1954
Mexican Revolution,1000000,1911,1920,23.6345,-102.5528
Gallic Wars,948683,-58,-50,46.2276,2.2137
Algerian War,724569,1954,1962,28.0339,1.6596
Spanish Civil War,707107,1936,1939,40.4637,3.7492
Paraguayan War,600000,1864,1870,-8.7832,-55.4915
War on Terror,585423,2001,2013,29.2985,42.551
Iran-Iraq War,564041,1980,1988,33.96,45.45
